"Instance_ID","County","Cases","Deaths"
2,"Cobb",15,NA
2,"Fulton",13,NA
2,"Dekalb",8,NA
2,"Bartow",7,NA
2,"Cherokee",5,NA
2,"Fayette",4,NA
2,"Floyd",3,NA
2,"Coweta",2,NA
2,"Gordon",2,NA
2,"Gwinnett",2,NA
2,"Lee",1,NA
2,"Henry",1,NA
2,"Lowndes",1,NA
2,"Polk",1,NA
2,"Charlton",1,NA
3,"Fulton",20,NA
3,"Cobb",19,NA
3,"Dekalb",10,NA
3,"Bartow",9,NA
3,"Dougherty",6,NA
3,"Cherokee",6,NA
3,"Fayette",5,NA
3,"Floyd",4,NA
3,"Gwinnett",4,NA
3,"Coweta",2,NA
3,"Gordon",2,NA
3,"Lee",2,NA
3,"Lowndes",2,NA
3,"Clayton",2,NA
3,"Clarke",2,NA
3,"Newton",1,NA
3,"Henry",1,NA
3,"Polk",1,NA
3,"Charlton",1,NA
4,"Fulton",27,NA
4,"Cobb",22,NA
4,"Dekalb",10,NA
4,"Bartow",9,NA
4,"Cherokee",7,NA
4,"Dougherty",6,NA
4,"Fayette",5,NA
4,"Clayton",5,NA
4,"Gwinnett",5,NA
4,"Floyd",4,NA
4,"Clarke",3,NA
4,"Lowndes",3,NA
4,"Gordon ",2,NA
4,"Coweta ",2,NA
4,"Lee",2,NA
4,"Henry ",2,NA
4,"Troup",1,NA
4,"Hall",1,NA
4,"Polk",1,NA
4,"Paulding",1,NA
4,"Charlton",1,NA
4,"Newton",1,NA
4,"Forsyth",1,NA
5,"Fulton",33,NA
5,"Cobb",25,NA
5,"Dekalb",15,NA
5,"Bartow",10,NA
5,"Gwinnett",7,NA
5,"Cherokee",7,NA
5,"Floyd",6,NA
5,"Dougherty",6,NA
5,"Fayette",5,NA
5,"Clayton",4,NA
5,"Lowndes",4,NA
5,"Clarke",3,NA
5,"Coweta",3,NA
5,"Gordon",2,NA
5,"Troup",2,NA
5,"Lee",2,NA
5,"Henry",2,NA
5,"Forsyth",1,NA
5,"Polk",1,NA
5,"Hall",1,NA
5,"Barrow ",1,NA
5,"Charlton",1,NA
5,"Columbia",1,NA
5,"Rockdale",1,NA
5,"Newton",1,NA
5,"Paulding",1,NA
5,"Richmond",1,NA
6,"Fulton",49,NA
6,"Cobb",28,NA
6,"Bartow ",19,NA
6,"DeKalb",18,NA
6,"Cherokee",9,NA
6,"Fayette",8,NA
6,"Gwinnett",7,NA
6,"Dougherty",7,NA
6,"Clayton",6,NA
6,"Floyd",6,NA
6,"Lowndes",5,NA
6,"Clarke",5,NA
6,"Gordon",3,NA
6,"Newton",3,NA
6,"Hall",3,NA
6,"Coweta",3,NA
6,"Paulding",3,NA
6,"Troup",2,NA
6,"Henry",2,NA
6,"Lee",2,NA
6,"Forsyth",2,NA
6,"Columbia",1,NA
6,"Houston",1,NA
6,"Richmond",1,NA
6,"Whitfield",1,NA
6,"Polk",1,NA
6,"Charlton",1,NA
6,"Barrow",1,NA
7,"Fulton",66,NA
7,"Cobb",37,NA
7,"Bartow ",26,NA
7,"DeKalb",22,NA
7,"Dougherty",20,NA
7,"Cherokee",16,NA
7,"Gwinnett",12,NA
7,"Fayette",9,NA
7,"Clarke",8,NA
7,"Lowndes",6,NA
7,"Floyd",6,NA
7,"Clayton",6,NA
7,"Unknown",6,NA
7,"Hall",5,NA
7,"Gordon",4,NA
7,"Lee",3,NA
7,"Coweta",3,NA
7,"Paulding",3,NA
7,"Newton",3,NA
7,"Forsyth",3,NA
7,"Henry",3,NA
7,"Early",2,NA
7,"Glynn",2,NA
7,"Laurens",2,NA
7,"Richmond",2,NA
7,"Troup",2,NA
7,"Rockdale",1,NA
7,"Houston",1,NA
7,"Charlton",1,NA
7,"Whitfield",1,NA
7,"Polk",1,NA
7,"Columbia",1,NA
7,"Barrow",1,NA
7,"Bibb",1,NA
7,"Peach",1,NA
7,"Muscogee",1,NA
8,"Fulton",79,NA
8,"Cobb",45,NA
8,"Bartow ",40,NA
8,"Dougherty",38,NA
8,"DeKalb",35,NA
8,"Unknown",24,NA
8,"Gwinnett",20,NA
8,"Cherokee",13,NA
8,"Fayette",10,NA
8,"Clarke",9,NA
8,"Clayton",9,NA
8,"Lee",8,NA
8,"Richmond",7,NA
8,"Carroll",7,NA
8,"Lowndes",6,NA
8,"Henry",6,NA
8,"Floyd",6,NA
8,"Hall",5,NA
8,"Coweta",5,NA
8,"Newton",4,NA
8,"Paulding",3,NA
8,"Gordon",3,NA
8,"Forsyth",3,NA
8,"Troup",2,NA
8,"Terrell",2,NA
8,"Glynn",2,NA
8,"Worth",2,NA
8,"Polk",2,NA
8,"Laurens",2,NA
8,"Early",2,NA
8,"Heard",1,NA
8,"Oconee",1,NA
8,"Turner",1,NA
8,"Bibb",1,NA
